longitude,latitude,name,address,foundation_date,rating,day_of_week
-84.961784,34.789184999999996,"Wendy's-Dalton,GA","1140 N Glenwood Ave, Dalton,GA, (706) 226-3215",1980/04/07,4,monday
-92.15725,32.51696,"Wendy's-West Monroe,LA","109 Thomas Rd, West Monroe,LA, (318) 322-8883",1983/04/07,4,tuesday
-96.1232,41.29235,"Wendy's-Omaha,NE ","13430 W Maple Rd, Omaha,NE, (402) 498-8998",1980/02/07,2,friday
-79.011589,43.864578,"Wendy's-Ajax,ON","274 Kingston Road E., Ajax,ON L1S 4S7 CA, (905) 427-4555",1995/03/02,1,thursday
-87.45291999999999,36.69313,"Wendy's-Oak Grove,KY ","12900 Fort Campbell Blvd, Oak Grove,KY, (270) 697-0716",1989/02/05,1,wednesday
-90.09156,30.39507,"Wendy's-Mandeville,LA","3803 Emerald Dr, Mandeville,LA, (985) 626-3753",1989/01/12,4,monday
-80.77043,41.12011,"Wendy's-Austintown,OH","5551 Interstate Blvd, Austintown,OH, (330) 652-1952",1989/03/02,3,friday
-83.291901,30.872947999999997,"Wendy's-Valdosta,GA","3101 N Oak St, Valdosta,GA, (229) 244-1102",1983/04/01,3,thursday
-84.61159,39.09515,"Wendy's-Cincinnati,OH ","5066 Delhi Ave, Cincinnati,OH, (513) 922-3593",1986/01/02,2,tuesday
-79.021408,43.843456,"Wendy's-Ajax,ON","80 Bayly Street West, Ajax,ON L1S 1N9 CA, (905) 427-2332",2001/01/02,2,friday
-119.78555,39.4696,"Wendy's-Reno,NV","6199 S Virginia St, Reno,NV, (775) 851-3104",1989/01/02,1,wednesday
-82.225801,26.933087,"Wendy's-Port Charlotte,FL","13417 Mccall Rd, Port Charlotte,FL, (941) 698-9445",1992/04/02,1,monday
-122.19673999999999,47.443259999999995,"Wendy's-Renton,WA","17816 108th Ave Se, Renton,WA, (425) 235-7325",1980/01/07,3,monday
-79.41488000000001,35.155440000000006,"Wendy's-Aberdeen,NC","1805 N Sandhills Blvd, Aberdeen,NC, (910) 692-4130",1986/03/02,4,friday
-86.644397,30.425307,"Wendy's-Fort Walton Beach,FL","441 Mary Esther Cut/Off Nw, Fort Walton Beach,FL, (850) 244-0828",2004/02/10,5,friday
-97.56571,35.50764,"Wendy's-Oklahoma City,OK","3701 N May Ave, Oklahoma City,OK, (405) 947-0095",1992/03/17,4,tuesday
-118.30916,33.872640000000004,"Wendy's-Gardena,CA","17420 S Western Ave, Gardena,CA, (310) 327-7707",1983/01/07,1,wednesday
-86.22317,43.284420000000004,"Wendy's-Muskegon,MI ","1756 N Getty St, Muskegon,MI, (231) 744-9380",1989/01/01,5,wednesday
-83.23855,40.8354,"Wendy's-Upper Sandusky,OH","1750 E Wyandot Ave, Upper Sandusky,OH, (419) 294-3077",1992/02/12,5,tuesday
-84.16999799999999,33.803847999999995,"Wendy's-Stone Mountain,GA","1235 S Hairston Rd, Stone Mountain,GA, (404) 299-5079",1983/01/07,5,thursday
-104.84716999999999,39.77093,"Wendy's-Denver,CO","3899 Peoria St, Denver,CO, (303) 373-4659",2004/01/07,5,monday
-76.59841,39.31364,"Wendy's-Baltimore,MD","2045 Harford Rd, Baltimore,MD, (410) 366-1634",1983/02/17,3,tuesday
-117.1592,33.5146,"Wendy's-Temecula,CA","27672 Jefferson Ave, Temecula,CA, (951) 587-6151",1986/02/01,5,tuesday
-82.55789200000001,27.521420000000003,"Wendy's-Palmetto,FL","606 10th St E, Palmetto,FL, (941) 729-4664",1992/03/05,1,thursday
-82.38899,34.72784,"Wendy's-Piedmont,SC ","7478 Augusta Rd, Piedmont,SC, (864) 277-5305",2001/02/10,2,wednesday
-78.64904,35.32478,"Wendy's-Erwin,NC","594 E Jackson Blvd, Erwin,NC, (910) 897-4131",1992/02/02,3,tuesday
-92.40405,34.855,"Wendy's-N Little Rock,AR","120 Carnahan Dr, N Little Rock,AR, (501) 803-0248",1998/06/02,3,friday
-84.15904,35.94765,"Wendy's-Knoxville,TN","2060 Castaic Ln, Knoxville,TN, (865) 531-9910",1995/01/02,3,thursday
-93.86378,32.44688,"Wendy's-Shreveport,LA","6710 Pines Rd, Shreveport,LA, (318) 688-8727",1983/02/07,5,thursday
-84.53985,38.2148,"Wendy's-Georgetown,KY ","2002 Paris Pike, Georgetown,KY, (502) 863-6656",1989/02/10,2,thursday
-108.75906,35.53613,"Wendy's-Gallup,NM","985 Us 666, Gallup,NM, (505) 726-1071",1980/04/05,4,monday
-80.36218000000001,37.13645,"Wendy's-Christiansburg,VA","2330 Roanoke St, Christiansburg,VA, (540) 382-2311",1980/04/02,3,thursday
-90.00845,35.1359,"Wendy's-Memphis,TN","1593 Union Ave, Memphis,TN, (901) 274-4536",1983/01/01,3,friday
-97.065506,49.854881,"Wendy's-Winnipeg,MB","1040 Beaverhill Blvd., Winnipeg,MB R2J 1B1 CA, (204) 257-6736",1989/02/05,3,thursday
-87.57558,37.86091,"Wendy's-Henderson,KY ","1961 US Highway 41 N, Henderson,KY, (270) 826-1327",1983/02/05,5,friday
-79.88853,40.4254,"Wendy's-Pittsburg,PA","1703 S Braddock Ave, Pittsburg,PA, (412) 371-8448",1983/03/02,5,wednesday
-77.33471999999999,38.646190000000004,"Wendy's-Dale City,VA ","4461 Cheshire Station Plz, Dale City,VA, (703) 897-7329",1986/04/01,2,friday
-100.51199,31.428009999999997,"Wendy's-San Angelo,TX","5555 Sherwood Way, San Angelo,TX, (915) 947-3231",1989/02/01,3,wednesday
-106.36786000000001,31.77317,"Wendy's-El Paso,TX ","9150 Viscount Blvd, El Paso,TX, (915) 593-0666",1983/03/05,5,thursday
-75.99764,36.7896,"Wendy's-Virginia Beach,VA","1483 General Booth Blvd, Virginia Beach,VA, (757) 491-2129",1983/02/01,2,thursday
-99.47386999999999,27.57375,"Wendy's-Laredo,TX","1212 E Del Mar Blvd, Laredo,TX, (956) 791-6642",1983/01/12,3,tuesday
-103.2001,44.087579999999996,"Wendy's-Rapid City,SD ","701 E North St, Rapid City,SD , (605) 342-3142",1995/01/07,1,tuesday
-84.58214,35.91332,"Wendy's-Harriman,TN","1618 S Roane St, Harriman,TN, (865) 882-5223",1998/01/05,5,thursday
-121.73136000000001,38.53993,"Wendy's-Davis,CA","1701 Cowell Blvd, Davis,CA, (530) 297-0120",1980/01/05,4,monday
-84.13221,41.39888,"Wendy's-Napoleon,OH","1429 N Scott St, Napoleon,OH, (419) 592-6363",1986/01/07,4,friday
-88.84116,41.35461,"Wendy's-Ottawa,IL ","1440 Columbus St, Ottawa,IL, (815) 433-0334",1995/01/10,5,monday
-73.74529,40.72927,"Wendy's-Queens Village,NY","98 Hillside Ave, Queens Village,NY, (718) 479-5151",1992/02/02,2,tuesday
-88.3577,36.86634,"Wendy's-Alexandria,KY","7201 Alexandria Pike, Alexandria,KY, (859) 635-4553",1986/02/07,3,thursday
-78.70824,35.859809999999996,"Wendy's-Raleigh, NC","6611 Glenwood Ave, Raleigh,NC, (919) 782-1065",1986/02/10,2,monday
-84.1597,36.34792,"Wendy's-La Follette,TN","2121 Jacksboro Pike, La Follette,TN, (423) 562-1601",1989/01/02,3,friday
-85.33887,37.34491,"Wendy's-Campbellsville,KY","612 E Broadway St, Campbellsville,KY, (270) 789-6525",2001/03/12,4,tuesday
-88.44060999999999,41.66491,"Wendy's-Yorkville,IL","1855 Marketview Dr, Yorkville,IL, (630) 553-1922",1989/02/07,5,thursday
-86.44882,36.38755,"Wendy's-Gallatin,TN","233 W Main St, Gallatin,TN, (615) 452-6513",1992/01/05,4,friday
-83.31916,43.04656,"Wendy's-Lapeer,MI ","436 S Main St, Lapeer,MI, (810) 664-1641",1989/02/07,2,friday
-122.494118,49.059940000000005,"Wendy's-Aldergrove,BC","26361 Fraser Highway, Aldergrove,BC V4W 2Z7 CA, (604) 856-1337",1986/04/17,2,wednesday
-84.17208000000001,39.747409999999995,"Wendy's-Dayton,OH","1507 Wayne Ave, Dayton,OH, (937) 252-8085",1989/02/05,2,monday
-91.50253000000001,41.64328,"Wendy's-Iowa City,IA","1480 S 1st Ave, Iowa City,IA , (319) 337-7911",1998/02/05,2,friday
-84.19306999999999,39.89141,"Wendy's-Vandalia,OH","383 E National Rd, Vandalia,OH, (937) 898-8887",1986/04/05,2,monday
-96.65392,40.78604,"Wendy's-Lincoln,NE ","2615 S 48th St, Lincoln,NE, (402) 483-1700",1980/03/01,1,monday
